FirstName,LastName,Email,Address,Subscription Plan,Monthly Streams Limit,Cost,Credit Card Number,ExpDate,Song Title,Artist Name,Album Title,Genre,Device,Song Length (min),Playlist Name,Playlist Position,Date,Over Limit,Pay-Per-Stream Fee
Bob,Lee,hickoryct.boblee@music.com,"6431 Hickory Ct, TX",Free,10,0,5662-4926-7505-8224,11/3/2025,Reckless Love,Cory Asbury,Reckless Love,Jazz,Desktop,5,Relax,61,1/14/2024 14:49:59,No,0
Dave,Martin,hickoryct.davemartin@music.com,"4756 Hickory Ct, NC",Basic,50,4.99,1676-6248-5922-9780,10/29/2025,Run to the Father,Cody Carnes,Run to the Father,Classical,Mobile,6,Study,5,1/9/2024 14:51:40,No,0
Dave,White,hickoryct.davewhite@music.com,"7269 Hickory Ct, FL",Basic,50,4.99,8570-8267-4723-4534,10/24/2025,Oceans (Where Feet May Fail),Hillsong United,Zion,Country,Mobile,9,Focus,18,1/16/2024 14:53:04,No,0
Hank,Clark,hickoryct.hankclark@music.com,"8694 Hickory Ct, IL",Premium,100,9.99,4609-9726-5951-2600,10/19/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Pop,Mobile,9,Sleep,88,1/25/2024 14:51:23,No,0
Ivy,Davis,hickoryct.ivydavis@music.com,"8447 Hickory Ct, OH",Free,10,0,3851-4936-8667-3661,10/24/2025,Run to the Father,Cody Carnes,Run to the Father,Reggae,Desktop,6,Chill,71,1/29/2024 14:49:33,No,0
Jack,Lopez,hickoryct.jacklopez@music.com,"867 Hickory Ct, FL",Premium,100,9.99,3246-1339-3103-6015,10/19/2025,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Hip-Hop,Mobile,4,Study,64,1/23/2024 14:52:37,No,0
Oscar,Brown,hickoryct.oscarbrown@music.com,"8132 Hickory Ct, OH",Basic,50,4.99,5508-7794-1285-4631,10/14/2025,Holy Water,We The Kingdom,Holy Water,Classical,Mobile,5,Study,83,1/28/2024 14:52:25,No,0
Sara,Wilson,hickoryct.sarawilson@music.com,"6028 Hickory Ct, MI",Free,10,0,7698-5140-6112-6278,10/19/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Metal,Tablet,7,Study,48,1/7/2024 14:51:52,No,0
Tom,King,hickoryct.tomking@music.com,"9221 Hickory Ct, WA",Basic,50,4.99,6258-6769-2220-2258,10/14/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Classical,Tablet,9,Focus,27,1/29/2024 14:51:56,No,0
Bob,Anderson,maplest.bobanderson@music.com,"4053 Maple St, OH",Free,10,0,9412-1584-3345-4649,10/19/2025,Way Maker,Leeland,Better Word,Electronic,Mobile,8,Sleep,3,1/16/2024 14:50:12,No,0
Bob,Anderson,maplest.bobanderson@music.com,"4053 Maple St, OH",Free,10,0,4588-7013-6857-2939,10/24/2025,Battle Belongs,Phil Wickham,Hymn of Heaven,Pop,Tablet,4,Relax,94,1/3/2024 14:50:39,No,0
Eve,Moore,maplest.evemoore@music.com,"2722 Maple St, WA",Basic,50,4.99,8252-7506-7405-1323,10/19/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Pop,Desktop,7,Relax,26,1/1/2024 14:51:08,No,0
Grace,Davis,maplest.gracedavis@music.com,"7055 Maple St, PA",Premium,100,9.99,5328-3131-1609-7480,10/14/2025,Who You Say I Am,Hillsong Worship,There Is More,Country,Mobile,5,Sleep,5,1/9/2024 14:50:03,No,0
Hank,Anderson,maplest.hankanderson@music.com,"4059 Maple St, OH",Free,10,0,1740-2576-6388-3132,10/19/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Electronic,Mobile,7,Party,14,1/29/2024 14:49:20,No,0
Hank,Anderson,maplest.hankanderson@music.com,"4059 Maple St, OH",Premium,100,9.99,2540-2815-8852-5472,10/14/2025,Gratitude,Brandon Lake,House of Miracles,Jazz,Tablet,7,Study,72,1/12/2024 14:50:48,No,0
Nina,Martin,maplest.ninamartin@music.com,"35 Maple St, TX",Premium,100,9.99,3965-5083-1745-7122,10/9/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Reggae,Tablet,7,Workout,84,1/1/2024 14:49:24,No,0
Pam,Jackson,maplest.pamjackson@music.com,"7384 Maple St, MI",Free,10,0,1241-1130-5021-2151,10/14/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Reggae,Desktop,6,Focus,56,1/15/2024 14:52:00,No,0
Quinn,Anderson,maplest.quinnanderson@music.com,"7137 Maple St, TX",Basic,50,4.99,4499-9176-5748-8927,10/9/2025,Known,Tauren Wells,Hills and Valleys,Country,Desktop,4,Study,6,1/30/2024 14:49:22,No,0
Tom,King,maplest.tomking@music.com,"6680 Maple St, NC",Basic,50,4.99,6578-8535-5693-8881,10/4/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Hip-Hop,Mobile,7,Party,23,1/29/2024 14:52:03,No,0
Bob,Thompson,oakave.bobthompson@music.com,"8578 Oak Ave, NY",Basic,50,4.99,6499-7865-6922-4036,9/29/2025,Who You Say I Am,Hillsong Worship,There Is More,Pop,Mobile,5,Workout,85,1/18/2024 14:52:29,No,0
Carol,Brown,oakave.carolbrown@music.com,"8279 Oak Ave, WA",Free,10,0,9307-6297-9038-8343,10/4/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Classical,Mobile,7,Focus,53,1/1/2024 14:49:46,Yes,0.25
Eve,Smith,oakave.evesmith@music.com,"296 Oak Ave, IL",Free,10,0,6530-4823-1922-5122,10/9/2025,Known,Tauren Wells,Hills and Valleys,Electronic,Desktop,4,Study,57,1/3/2024 14:51:05,No,0
Eve,Smith,oakave.evesmith@music.com,"296 Oak Ave, IL",Free,10,0,7611-6940-1899-6937,10/14/2025,Holy Water,We The Kingdom,Holy Water,Blues,Desktop,5,Focus,28,1/11/2024 14:51:28,No,0
Karen,Lopez,oakave.karenlopez@music.com,"4481 Oak Ave, FL",Free,10,0,6259-9348-5390-2957,10/19/2025,Who You Say I Am,Hillsong Worship,There Is More,Hip-Hop,Tablet,5,Workout,94,1/19/2024 14:48:55,No,0
Leo,Thomas,oakave.leothomas@music.com,"53 Oak Ave, NY",Basic,50,4.99,4853-5737-2920-4521,10/14/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Jazz,Desktop,7,Focus,86,1/19/2024 14:51:36,No,0
Leo,Thomas,oakave.leothomas@music.com,"53 Oak Ave, NY",Basic,50,4.99,3542-2815-7788-9685,10/9/2025,Good Grace,Hillsong UNITED,People,Hip-Hop,Tablet,8,Chill,31,1/24/2024 14:52:57,No,0
Mona,Wilson,oakave.monawilson@music.com,"4675 Oak Ave, MI",Premium,100,9.99,3964-9723-9137-9522,10/4/2025,Till I Found You,Phil Wickham,Living Hope,Electronic,Mobile,5,Relax,100,1/26/2024 14:49:52,No,0
Oscar,Anderson,oakave.oscaranderson@music.com,"7069 Oak Ave, WA",Premium,100,9.99,3725-7282-7653-1742,9/29/2025,Rise Up (Lazarus),CAIN,Rise Up,Hip-Hop,Desktop,4,Study,5,1/5/2024 14:52:48,No,0
Pam,Brown,oakave.pambrown@music.com,"8134 Oak Ave, TX",Basic,50,4.99,7034-8117-2413-2546,9/24/2025,Holy Water,We The Kingdom,Holy Water,Country,Tablet,5,Relax,99,1/4/2024 14:50:13,No,0
Pam,Perez,oakave.pamperez@music.com,"9295 Oak Ave, PA",Basic,50,4.99,9323-2706-4898-1785,9/19/2025,See a Victory,Elevation Worship,At Midnight,Country,Tablet,6,Relax,49,1/14/2024 14:51:40,No,0
Carol,Martin,pinerd.carolmartin@music.com,"2901 Pine Rd, WA",Basic,50,4.99,9061-1118-7260-7247,9/14/2025,Good Grace,Hillsong UNITED,People,Rock,Desktop,8,Relax,69,1/25/2024 14:51:45,No,0
Eve,Davis,pinerd.evedavis@music.com,"2489 Pine Rd, PA",Basic,50,4.99,1654-6832-6168-6151,9/9/2025,Good Grace,Hillsong UNITED,People,Classical,Mobile,8,Chill,12,1/29/2024 14:51:16,No,0
Jack,Moore,pinerd.jackmoore@music.com,"1015 Pine Rd, OH",Premium,100,9.99,9496-4154-1418-3796,9/4/2025,You Say,Lauren Daigle,Look Up Child,Pop,Mobile,4,Party,48,1/23/2024 14:50:06,No,0
Mona,Anderson,pinerd.monaanderson@music.com,"580 Pine Rd, FL",Premium,100,9.99,4441-1584-8994-4045,8/30/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Classical,Tablet,7,Workout,5,1/6/2024 14:53:08,No,0
Pam,Jackson,pinerd.pamjackson@music.com,"687 Pine Rd, TX",Premium,100,9.99,5333-7813-9117-9741,8/25/2025,Chain Breaker,Zach Williams,Chain Breaker,Jazz,Mobile,3,Workout,36,1/17/2024 14:51:34,No,0
Pam,Taylor,pinerd.pamtaylor@music.com,"3724 Pine Rd, TX",Basic,50,4.99,1508-6243-2628-1463,8/20/2025,Rescue,Lauren Daigle,Look Up Child,Blues,Mobile,4,Relax,90,1/2/2024 14:51:39,No,0
Quinn,Jackson,pinerd.quinnjackson@music.com,"2437 Pine Rd, OH",Basic,50,4.99,9490-8622-9562-9304,8/15/2025,Holy Water,We The Kingdom,Holy Water,Pop,Desktop,5,Workout,20,1/10/2024 14:52:51,No,0
Bob,Lopez,spruceln.boblopez@music.com,"9382 Spruce Ln, PA",Premium,100,9.99,6539-7166-7255-4623,8/10/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Rock,Tablet,9,Chill,11,1/23/2024 14:48:49,No,0
Dave,Davis,spruceln.davedavis@music.com,"55 Spruce Ln, IL",Free,10,0,2033-2472-3436-1285,8/15/2025,Rescue,Lauren Daigle,Look Up Child,Pop,Tablet,4,Chill,39,1/31/2024 14:48:57,No,0
Ivy,Miller,spruceln.ivymiller@music.com,"5688 Spruce Ln, FL",Free,10,0,2702-2633-3626-8252,8/20/2025,Known,Tauren Wells,Hills and Valleys,Blues,Desktop,4,Party,35,1/4/2024 14:49:57,No,0
Ivy,Perez,spruceln.ivyperez@music.com,"420 Spruce Ln, OH",Free,10,0,3923-2759-6333-5073,8/25/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Country,Tablet,7,Sleep,48,1/28/2024 14:49:02,No,0
Leo,Jackson,spruceln.leojackson@music.com,"4789 Spruce Ln, PA",Free,10,0,3703-1471-6577-5502,8/30/2025,Gratitude,Brandon Lake,House of Miracles,Reggae,Desktop,7,Chill,14,1/17/2024 14:50:44,No,0
Oscar,Scott,spruceln.oscarscott@music.com,"1166 Spruce Ln, FL",Free,10,0,4693-6621-7318-4093,9/4/2025,Alive & Breathing,Matt Maher,Alive & Breathing,Jazz,Desktop,4,Workout,28,1/11/2024 14:52:17,No,0
Oscar,White,spruceln.oscarwhite@music.com,"7282 Spruce Ln, TX",Basic,50,4.99,4005-5699-7308-6577,8/30/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Reggae,Mobile,6,Workout,69,1/20/2024 14:49:49,No,0
Pam,Martin,spruceln.pammartin@music.com,"8998 Spruce Ln, OH",Premium,100,9.99,2789-4356-5976-4091,8/25/2025,Alive & Breathing,Matt Maher,Alive & Breathing,Reggae,Desktop,4,Party,5,1/14/2024 14:52:53,No,0
Rob,King,spruceln.robking@music.com,"3305 Spruce Ln, NC",Basic,50,4.99,1766-9316-5436-1668,8/20/2025,God Only Knows,for KING & COUNTRY,Burn the Ships,Rock,Mobile,3,Relax,53,1/12/2024 14:49:16,No,0
Tom,Miller,spruceln.tommiller@music.com,"3766 Spruce Ln, WA",Premium,100,9.99,8076-9234-7406-9098,8/15/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Country,Tablet,7,Road Trip,21,1/16/2024 14:53:14,No,0
Jack,Jackson,willowblvd.jackjackson@music.com,"5314 Willow Blvd, WA",Premium,100,9.99,7763-5987-6934-9542,8/10/2025,Who You Say I Am,Hillsong Worship,There Is More,Pop,Desktop,5,Workout,96,1/17/2024 14:52:28,No,0
Nina,Miller,willowblvd.ninamiller@music.com,"645 Willow Blvd, WA",Premium,100,9.99,4162-7423-3280-3432,8/5/2025,Do It Again,Elevation Worship,There Is a Cloud,Pop,Tablet,6,Focus,3,1/14/2024 14:51:11,No,0
Nina,White,willowblvd.ninawhite@music.com,"8114 Willow Blvd, TX",Free,10,0,5962-9506-4675-6780,8/10/2025,Chain Breaker,Zach Williams,Chain Breaker,Jazz,Desktop,3,Relax,41,1/1/2024 14:52:08,No,0
Quinn,Johnson,willowblvd.quinnjohnson@music.com,"7509 Willow Blvd, PA",Premium,100,9.99,3175-7615-9363-4167,8/5/2025,Known,Tauren Wells,Hills and Valleys,Pop,Tablet,4,Study,42,1/30/2024 14:51:37,No,0
Rob,Jackson,willowblvd.robjackson@music.com,"6643 Willow Blvd, WA",Basic,50,4.99,8399-4996-3663-3763,7/31/2025,Way Maker,Leeland,Better Word,Hip-Hop,Tablet,8,Workout,36,1/14/2024 14:52:28,No,0
Sara,Miller,willowblvd.saramiller@music.com,"1055 Willow Blvd, NY",Premium,100,9.99,1870-9024-1827-7432,7/26/2025,Reckless Love,Cory Asbury,Reckless Love,Classical,Desktop,5,Focus,34,1/13/2024 14:51:23,No,0
Sara,White,willowblvd.sarawhite@music.com,"6660 Willow Blvd, FL",Basic,50,4.99,3671-3826-6652-8257,7/21/2025,Living Hope,Phil Wickham,Living Hope,Pop,Tablet,5,Chill,58,1/31/2024 14:49:56,No,0
Alice,Lee,ashdr.alicelee@music.com,"8461 Ash Dr, NY",Premium,100,9.99,5202-3838-4071-9569,7/16/2025,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Metal,Mobile,4,Focus,78,2/22/2024 14:52:19,No,0
Carol,Lee,ashdr.carollee@music.com,"1980 Ash Dr, NY",Free,10,0,4144-5399-4524-4057,7/21/2025,Way Maker,Leeland,Better Word,Blues,Desktop,8,Sleep,3,2/15/2024 14:52:14,No,0
Oscar,Lee,ashdr.oscarlee@music.com,"2306 Ash Dr, NC",Free,10,0,1009-6996-9814-7012,7/26/2025,Known,Tauren Wells,Hills and Valleys,Hip-Hop,Desktop,4,Workout,7,2/23/2024 14:49:00,No,0
Quinn,Johnson,ashdr.quinnjohnson@music.com,"3564 Ash Dr, MI",Free,10,0,4499-3385-6996-9741,7/31/2025,Good Grace,Hillsong UNITED,People,Metal,Mobile,8,Party,77,2/11/2024 14:52:23,No,0
Sara,Davis,ashdr.saradavis@music.com,"5461 Ash Dr, NC",Basic,50,4.99,1422-3214-2294-8858,7/26/2025,Way Maker,Leeland,Better Word,Hip-Hop,Desktop,8,Workout,88,2/29/2024 14:49:25,No,0
Sara,Davis,ashdr.saradavis@music.com,"5461 Ash Dr, NC",Basic,50,4.99,8596-5180-6189-4437,7/21/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Hip-Hop,Mobile,6,Sleep,100,2/8/2024 14:50:07,No,0
Carol,Davis,birchst.caroldavis@music.com,"8371 Birch St, PA",Premium,100,9.99,9063-5795-3321-9257,7/16/2025,Way Maker,Leeland,Better Word,Hip-Hop,Tablet,8,Road Trip,28,2/18/2024 14:50:56,No,0
Carol,Thompson,birchst.carolthompson@music.com,"7874 Birch St, FL",Free,10,0,2682-4037-2073-8879,7/21/2025,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Classical,Tablet,4,Workout,35,2/25/2024 14:52:25,No,0
Frank,Scott,birchst.frankscott@music.com,"3683 Birch St, FL",Basic,50,4.99,9348-5662-8567-4171,7/16/2025,Chain Breaker,Zach Williams,Chain Breaker,Hip-Hop,Tablet,3,Relax,46,2/17/2024 14:49:02,No,0
Hank,Davis,birchst.hankdavis@music.com,"286 Birch St, FL",Basic,50,4.99,9170-5404-6293-1622,7/11/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Pop,Desktop,7,Chill,33,2/18/2024 14:51:03,No,0
Hank,Martin,birchst.hankmartin@music.com,"7669 Birch St, FL",Free,10,0,2266-3599-1380-6155,7/16/2025,Who You Say I Am,Hillsong Worship,There Is More,Reggae,Tablet,5,Sleep,83,2/2/2024 14:49:42,No,0
Leo,Smith,birchst.leosmith@music.com,"9150 Birch St, MI",Free,10,0,1248-3599-2353-5989,7/21/2025,Do It Again,Elevation Worship,There Is a Cloud,Hip-Hop,Tablet,6,Chill,7,2/4/2024 14:51:23,Yes,0.25
Quinn,Johnson,birchst.quinnjohnson@music.com,"685 Birch St, NC",Free,10,0,4597-5414-3231-8026,7/26/2025,You Say,Lauren Daigle,Look Up Child,Blues,Tablet,4,Chill,75,2/8/2024 14:49:22,No,0
Quinn,Johnson,birchst.quinnjohnson@music.com,"685 Birch St, NC",Basic,50,4.99,7827-7414-2153-4481,7/21/2025,Run to the Father,Cody Carnes,Run to the Father,Metal,Tablet,6,Relax,93,2/2/2024 14:49:59,No,0
Sara,Anderson,birchst.saraanderson@music.com,"9391 Birch St, WA",Premium,100,9.99,5857-5858-2864-5092,7/16/2025,Living Hope,Phil Wickham,Living Hope,Electronic,Mobile,5,Relax,94,2/17/2024 14:49:02,No,0
Sara,Lee,birchst.saralee@music.com,"8064 Birch St, PA",Premium,100,9.99,9403-2100-4684-8968,7/11/2025,Known,Tauren Wells,Hills and Valleys,Rock,Desktop,4,Chill,56,2/12/2024 14:51:47,No,0
Sara,Lopez,birchst.saralopez@music.com,"6979 Birch St, WA",Basic,50,4.99,1272-6834-1173-5640,7/6/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Reggae,Desktop,9,Party,38,2/25/2024 14:49:46,No,0
Sara,White,birchst.sarawhite@music.com,"3592 Birch St, FL",Basic,50,4.99,7206-4676-6974-8656,7/1/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Metal,Desktop,9,Sleep,31,2/3/2024 14:49:04,No,0
Frank,Lee,cedarave.franklee@music.com,"5178 Cedar Ave, MI",Basic,50,4.99,1378-5793-2301-3104,6/26/2025,Reckless Love,Cory Asbury,Reckless Love,Jazz,Mobile,5,Road Trip,61,2/15/2024 14:48:48,No,0
Grace,Wilson,cedarave.gracewilson@music.com,"2197 Cedar Ave, OH",Basic,50,4.99,6351-9662-2210-3055,6/21/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Hip-Hop,Mobile,6,Workout,1,2/28/2024 14:49:53,No,0
Leo,Anderson,cedarave.leoanderson@music.com,"8697 Cedar Ave, MI",Free,10,0,7364-1012-9847-5956,6/26/2025,Oceans (Where Feet May Fail),Hillsong United,Zion,Hip-Hop,Mobile,9,Workout,79,2/10/2024 14:49:52,No,0
